iteration 165 performed, best fitness : 1175.12
iteration 166 performed, best fitness : 1150.25
iteration 167 performed, best fitness : 1278.49
iteration 168 performed, best fitness : 1290.29
iteration 169 performed, best fitness : 1338.2
iteration 170 performed, best fitness : 1174.68
iteration 171 performed, best fitness : 1170.18
iteration 172 performed, best fitness : 1289.72
iteration 173 performed, best fitness : 1303.83
iteration 174 performed, best fitness : 1194.94
iteration 175 performed, best fitness : 1121.72
iteration 176 performed, best fitness : 1275.61
iteration 177 performed, best fitness : 1126.9
iteration 178 performed, best fitness : 1296.3
iteration 179 performed, best fitness : 1178.99
iteration 180 performed, best fitness : 1282.35
iteration 181 performed, best fitness : 1123.12
iteration 182 performed, best fitness : 1326.88
iteration 183 performed, best fitness : 1309.58
iteration 184 performed, best fitness : 1288.61
iteration 185 performed, best fitness : 1317.38
iteration 186 performed, best fitness : 1254.86
iteration 187 performed, best fitness : 1334.7
iteration 188 performed, best fitness : 1303.82
iteration 189 performed, best fitness : 1310.03
iteration 190 performed, best fitness : 1339.12
iteration 191 performed, best fitness : 1314.91
iteration 192 performed, best fitness : 1299.3
iteration 193 performed, best fitness : 1320.88
iteration 194 performed, best fitness : 1328.19
iteration 195 performed, best fitness : 1301.48
iteration 196 performed, best fitness : 1336.3
iteration 197 performed, best fitness : 1334.82
iteration 198 performed, best fitness : 1325.98
iteration 199 performed, best fitness : 1322.91
iteration 200 performed, best fitness : 1295.56
iteration 201 performed, best fitness : 1288.46
iteration 202 performed, best fitness : 1317.7
iteration 203 performed, best fitness : 1365.49
iteration 204 performed, best fitness : 1321.21
iteration 205 performed, best fitness : 1327.02
iteration 206 performed, best fitness : 1336.58
iteration 207 performed, best fitness : 1328.82
iteration 208 performed, best fitness : 1349.05
iteration 209 performed, best fitness : 1301.84
iteration 210 performed, best fitness : 1339.01
iteration 211 performed, best fitness : 1312.09
iteration 212 performed, best fitness : 1313.37
iteration 213 performed, best fitness : 1292.35
iteration 214 performed, best fitness : 1298.33
iteration 215 performed, best fitness : 1307.01
iteration 216 performed, best fitness : 1315.59
iteration 217 performed, best fitness : 1296.27
iteration 218 performed, best fitness : 1302.97
iteration 219 performed, best fitness : 1378.62
iteration 220 performed, best fitness : 1288.3
iteration 221 performed, best fitness : 1284.69
iteration 222 performed, best fitness : 1282.52
iteration 223 performed, best fitness : 1361.17
iteration 224 performed, best fitness : 1317.08
iteration 225 performed, best fitness : 1351.62
iteration 226 performed, best fitness : 1321.9
iteration 227 performed, best fitness : 1303.97
iteration 228 performed, best fitness : 1305.89
iteration 229 performed, best fitness : 1317.73
iteration 230 performed, best fitness : 1332.99
iteration 231 performed, best fitness : 1302.57
iteration 232 performed, best fitness : 1317.71
iteration 233 performed, best fitness : 1309.84
iteration 234 performed, best fitness : 1338.13
iteration 235 performed, best fitness : 1340.52
iteration 236 performed, best fitness : 1333.27
iteration 237 performed, best fitness : 1325.83
iteration 238 performed, best fitness : 1294.32
iteration 239 performed, best fitness : 1342.66
iteration 240 performed, best fitness : 1343.69
iteration 241 performed, best fitness : 1330.88
iteration 242 performed, best fitness : 1319.39
iteration 243 performed, best fitness : 1325.21
iteration 244 performed, best fitness : 1318.88
iteration 245 performed, best fitness : 1316.04
iteration 246 performed, best fitness : 1313.09
iteration 247 performed, best fitness : 1329.06
iteration 248 performed, best fitness : 1325.48
iteration 249 performed, best fitness : 1343.82
iteration 250 performed, best fitness : 1319.64
iteration 251 performed, best fitness : 1355.62
iteration 252 performed, best fitness : 1325.98
iteration 253 performed, best fitness : 1347.64
iteration 254 performed, best fitness : 1325.14
iteration 255 performed, best fitness : 1330.4
iteration 256 performed, best fitness : 1331.46
iteration 257 performed, best fitness : 1329.22
iteration 258 performed, best fitness : 1346.69
iteration 259 performed, best fitness : 1324.29
iteration 260 performed, best fitness : 1339.93
iteration 261 performed, best fitness : 1335.48
iteration 262 performed, best fitness : 1339.64
iteration 263 performed, best fitness : 1338.3
iteration 264 performed, best fitness : 1351.27
iteration 265 performed, best fitness : 1343.01
iteration 266 performed, best fitness : 1339.41
iteration 267 performed, best fitness : 1342.77
iteration 268 performed, best fitness : 1343.86
iteration 269 performed, best fitness : 1341.87
iteration 270 performed, best fitness : 1342.77
iteration 271 performed, best fitness : 1359.27
iteration 272 performed, best fitness : 1350.07
iteration 273 performed, best fitness : 1361.37
iteration 274 performed, best fitness : 1321.98
iteration 275 performed, best fitness : 1343.23
iteration 276 performed, best fitness : 1352.74
iteration 277 performed, best fitness : 1347.1
iteration 278 performed, best fitness : 1354.05
iteration 279 performed, best fitness : 1350.31
iteration 280 performed, best fitness : 1354.59
iteration 281 performed, best fitness : 1350.62
iteration 282 performed, best fitness : 1353.26
iteration 283 performed, best fitness : 1350.41
