iteration 167 performed, best fitness : 1060.9
iteration 168 performed, best fitness : 1064.28
iteration 169 performed, best fitness : 1063.75
iteration 170 performed, best fitness : 1061.41
iteration 171 performed, best fitness : 1064.61
iteration 172 performed, best fitness : 1061.03
iteration 173 performed, best fitness : 1061.99
iteration 174 performed, best fitness : 1063.66
iteration 175 performed, best fitness : 1063.5
iteration 176 performed, best fitness : 1065.18
iteration 177 performed, best fitness : 1062.94
iteration 178 performed, best fitness : 1064.21
iteration 179 performed, best fitness : 1064.82
iteration 180 performed, best fitness : 1064.98
iteration 181 performed, best fitness : 1066.29
iteration 182 performed, best fitness : 1066.76
iteration 183 performed, best fitness : 1069.42
iteration 184 performed, best fitness : 1068.78
iteration 185 performed, best fitness : 1067.18
iteration 186 performed, best fitness : 1069.5
iteration 187 performed, best fitness : 1070.68
iteration 188 performed, best fitness : 1072.4
iteration 189 performed, best fitness : 1069.85
iteration 190 performed, best fitness : 1070.39
iteration 191 performed, best fitness : 1071.97
iteration 192 performed, best fitness : 1071.16
iteration 193 performed, best fitness : 1070.28
iteration 194 performed, best fitness : 1073.66
iteration 195 performed, best fitness : 1069.19
iteration 196 performed, best fitness : 1068.85
iteration 197 performed, best fitness : 1069.14
iteration 198 performed, best fitness : 1069.85
iteration 199 performed, best fitness : 1070.59
iteration 200 performed, best fitness : 1073.66
iteration 201 performed, best fitness : 1070.37
iteration 202 performed, best fitness : 1072.76
iteration 203 performed, best fitness : 1072.58
iteration 204 performed, best fitness : 1071.88
iteration 205 performed, best fitness : 1071.49
iteration 206 performed, best fitness : 1072.94
iteration 207 performed, best fitness : 1069.86
iteration 208 performed, best fitness : 1074.03
iteration 209 performed, best fitness : 1072.32
iteration 210 performed, best fitness : 1073.57
iteration 211 performed, best fitness : 1073.08
iteration 212 performed, best fitness : 1072.58
iteration 213 performed, best fitness : 1073.96
iteration 214 performed, best fitness : 1073.86
iteration 215 performed, best fitness : 1070.65
iteration 216 performed, best fitness : 1072.04
iteration 217 performed, best fitness : 1074.76
iteration 218 performed, best fitness : 1071.65
iteration 219 performed, best fitness : 1074.23
iteration 220 performed, best fitness : 1072.4
iteration 221 performed, best fitness : 1072.52
iteration 222 performed, best fitness : 1073.78
iteration 223 performed, best fitness : 1072.79
iteration 224 performed, best fitness : 1072.69
iteration 225 performed, best fitness : 1072.86
iteration 226 performed, best fitness : 1072.23
iteration 227 performed, best fitness : 1073.4
iteration 228 performed, best fitness : 1075.19
iteration 229 performed, best fitness : 1074.2
iteration 230 performed, best fitness : 1075.43
iteration 231 performed, best fitness : 1071.14
iteration 232 performed, best fitness : 1076.08
iteration 233 performed, best fitness : 1076.12
iteration 234 performed, best fitness : 1074.41
iteration 235 performed, best fitness : 1074.18
iteration 236 performed, best fitness : 1075.49
iteration 237 performed, best fitness : 1073.76
iteration 238 performed, best fitness : 1074.23
iteration 239 performed, best fitness : 1071.39
iteration 240 performed, best fitness : 1073.81
iteration 241 performed, best fitness : 1074.27
iteration 242 performed, best fitness : 1074.75
iteration 243 performed, best fitness : 1075.96
iteration 244 performed, best fitness : 1075.7
iteration 245 performed, best fitness : 1073.61
iteration 246 performed, best fitness : 1074.65
iteration 247 performed, best fitness : 1075.83
iteration 248 performed, best fitness : 1076.11
iteration 249 performed, best fitness : 1073.53
iteration 250 performed, best fitness : 1073.62
iteration 251 performed, best fitness : 1073.44
iteration 252 performed, best fitness : 1073.88
iteration 253 performed, best fitness : 1073.44
iteration 254 performed, best fitness : 1073.7
iteration 255 performed, best fitness : 1073.09
iteration 256 performed, best fitness : 1072.06
iteration 257 performed, best fitness : 1072.75
iteration 258 performed, best fitness : 1074.53
iteration 259 performed, best fitness : 1072.18
iteration 260 performed, best fitness : 1074.3
iteration 261 performed, best fitness : 1075.69
iteration 262 performed, best fitness : 1072.56
iteration 263 performed, best fitness : 1071.97
iteration 264 performed, best fitness : 1072.64
iteration 265 performed, best fitness : 1074.69
iteration 266 performed, best fitness : 1075.24
iteration 267 performed, best fitness : 1074.35
iteration 268 performed, best fitness : 1075.4
iteration 269 performed, best fitness : 1075.09
iteration 270 performed, best fitness : 1074.48
iteration 271 performed, best fitness : 1074.13
iteration 272 performed, best fitness : 1074.82
iteration 273 performed, best fitness : 1076.34
iteration 274 performed, best fitness : 1077
iteration 275 performed, best fitness : 1074.44
iteration 276 performed, best fitness : 1074.51
iteration 277 performed, best fitness : 1075.5
iteration 278 performed, best fitness : 1077.26
iteration 279 performed, best fitness : 1076.26
iteration 280 performed, best fitness : 1076.18
iteration 281 performed, best fitness : 1077.54
iteration 282 performed, best fitness : 1079.05
iteration 283 performed, best fitness : 1077.8
iteration 284 performed, best fitness : 1076.72
iteration 285 performed, best fitness : 1077
iteration 286 performed, best fitness : 1074.76
iteration 287 performed, best fitness : 1078.1
iteration 288 performed, best fitness : 1078.38
iteration 289 performed, best fitness : 1075.92
iteration 290 performed, best fitness : 1074.94
iteration 291 performed, best fitness : 1076.33
iteration 292 performed, best fitness : 1075.94
iteration 293 performed, best fitness : 1076.47
iteration 294 performed, best fitness : 1076.51
iteration 295 performed, best fitness : 1076.34
iteration 296 performed, best fitness : 1075.9
iteration 297 performed, best fitness : 1075.73
iteration 298 performed, best fitness : 1076.73
iteration 299 performed, best fitness : 1079.45
iteration 300 performed, best fitness : 1078.24
iteration 301 performed, best fitness : 1076.27
iteration 302 performed, best fitness : 1077.4
iteration 303 performed, best fitness : 1080.22
iteration 304 performed, best fitness : 1078.45
iteration 305 performed, best fitness : 1077.74
iteration 306 performed, best fitness : 1079.89
iteration 307 performed, best fitness : 1080.74
iteration 308 performed, best fitness : 1079.22
iteration 309 performed, best fitness : 1078.23
iteration 310 performed, best fitness : 1078.22
iteration 311 performed, best fitness : 1078.6
iteration 312 performed, best fitness : 1080.5
iteration 313 performed, best fitness : 1079.97
iteration 314 performed, best fitness : 1080.06
iteration 315 performed, best fitness : 1077.77
iteration 316 performed, best fitness : 1078.7
iteration 317 performed, best fitness : 1080.52
iteration 318 performed, best fitness : 1081
iteration 319 performed, best fitness : 1079.5
iteration 320 performed, best fitness : 1081.55
iteration 321 performed, best fitness : 1081.29
iteration 322 performed, best fitness : 1080.67
iteration 323 performed, best fitness : 1080.08
iteration 324 performed, best fitness : 1081.11
iteration 325 performed, best fitness : 1080.08
iteration 326 performed, best fitness : 1080.36
iteration 327 performed, best fitness : 1081.31
iteration 328 performed, best fitness : 1081.05
iteration 329 performed, best fitness : 1081.2
iteration 330 performed, best fitness : 1080.26
iteration 331 performed, best fitness : 1082.16
iteration 332 performed, best fitness : 1081.23
iteration 333 performed, best fitness : 1081.11
iteration 334 performed, best fitness : 1080.78
iteration 335 performed, best fitness : 1080.95
iteration 336 performed, best fitness : 1080.52
iteration 337 performed, best fitness : 1080.1
iteration 338 performed, best fitness : 1081.46
iteration 339 performed, best fitness : 1080.87
iteration 340 performed, best fitness : 1081.86
iteration 341 performed, best fitness : 1081.16
iteration 342 performed, best fitness : 1081.55
iteration 343 performed, best fitness : 1080.41
iteration 344 performed, best fitness : 1082.06
iteration 345 performed, best fitness : 1091.24
iteration 346 performed, best fitness : 1081.88
iteration 347 performed, best fitness : 1090.13
iteration 348 performed, best fitness : 1083.37
iteration 349 performed, best fitness : 1090.88
iteration 350 performed, best fitness : 1091.4
iteration 351 performed, best fitness : 1091.23
iteration 352 performed, best fitness : 1092.63
iteration 353 performed, best fitness : 1091.42
iteration 354 performed, best fitness : 1091.26
iteration 355 performed, best fitness : 1092.16
iteration 356 performed, best fitness : 1090.88
iteration 357 performed, best fitness : 1092.02
iteration 358 performed, best fitness : 1091.33
iteration 359 performed, best fitness : 1092.4
iteration 360 performed, best fitness : 1092.04
iteration 361 performed, best fitness : 1092.12
iteration 362 performed, best fitness : 1092.16
iteration 363 performed, best fitness : 1092.33
iteration 364 performed, best fitness : 1092.24
iteration 365 performed, best fitness : 1093.09
iteration 366 performed, best fitness : 1093.06
iteration 367 performed, best fitness : 1093.17
iteration 368 performed, best fitness : 1091.93
iteration 369 performed, best fitness : 1093.69
iteration 370 performed, best fitness : 1093.27
iteration 371 performed, best fitness : 1093.07
iteration 372 performed, best fitness : 1092.24
iteration 373 performed, best fitness : 1092.65
iteration 374 performed, best fitness : 1092.93
iteration 375 performed, best fitness : 1093.01
iteration 376 performed, best fitness : 1093.85
iteration 377 performed, best fitness : 1093.17
iteration 378 performed, best fitness : 1092.53
iteration 379 performed, best fitness : 1093.01
iteration 380 performed, best fitness : 1093.04
iteration 381 performed, best fitness : 1093.9
iteration 382 performed, best fitness : 1094.12
iteration 383 performed, best fitness : 1093.52
iteration 384 performed, best fitness : 1093.9
iteration 385 performed, best fitness : 1093.99
iteration 386 performed, best fitness : 1093.16
iteration 387 performed, best fitness : 1094.52
iteration 388 performed, best fitness : 1094.08
iteration 389 performed, best fitness : 1093.8
iteration 390 performed, best fitness : 1093.74
iteration 391 performed, best fitness : 1094.35
iteration 392 performed, best fitness : 1093.46
iteration 393 performed, best fitness : 1093.36
iteration 394 performed, best fitness : 1093.52
iteration 395 performed, best fitness : 1093.9
iteration 396 performed, best fitness : 1094.24
iteration 397 performed, best fitness : 1093.99
iteration 398 performed, best fitness : 1093.62
iteration 399 performed, best fitness : 1094.13
iteration 400 performed, best fitness : 1094.19
iteration 401 performed, best fitness : 1094.13
iteration 402 performed, best fitness : 1093.86
iteration 403 performed, best fitness : 1093.71
iteration 404 performed, best fitness : 1094.01
iteration 405 performed, best fitness : 1094.34
iteration 406 performed, best fitness : 1094.43
iteration 407 performed, best fitness : 1094.42
iteration 408 performed, best fitness : 1094.85
iteration 409 performed, best fitness : 1094.38
iteration 410 performed, best fitness : 1094.19
iteration 411 performed, best fitness : 1094.35
iteration 412 performed, best fitness : 1094.83
iteration 413 performed, best fitness : 1094.67
iteration 414 performed, best fitness : 1094.45
iteration 415 performed, best fitness : 1094
iteration 416 performed, best fitness : 1094.93
iteration 417 performed, best fitness : 1094.76
iteration 418 performed, best fitness : 1094.54
iteration 419 performed, best fitness : 1094.62
iteration 420 performed, best fitness : 1094.57
iteration 421 performed, best fitness : 1095.5
iteration 422 performed, best fitness : 1095.03
iteration 423 performed, best fitness : 1094.66
iteration 424 performed, best fitness : 1094.91
iteration 425 performed, best fitness : 1094.76
iteration 426 performed, best fitness : 1094.73
iteration 427 performed, best fitness : 1094.59
