iteration 163 performed, best fitness : 1269.58
iteration 164 performed, best fitness : 1164.55
iteration 165 performed, best fitness : 1174.71
iteration 166 performed, best fitness : 1140.79
iteration 167 performed, best fitness : 1212.73
iteration 168 performed, best fitness : 1205.33
iteration 169 performed, best fitness : 1192.42
iteration 170 performed, best fitness : 1214.75
iteration 171 performed, best fitness : 1207.99
iteration 172 performed, best fitness : 1212.79
iteration 173 performed, best fitness : 1220
iteration 174 performed, best fitness : 1188.88
iteration 175 performed, best fitness : 1156.12
iteration 176 performed, best fitness : 1238.37
iteration 177 performed, best fitness : 1200.18
iteration 178 performed, best fitness : 1285.26
iteration 179 performed, best fitness : 1201.08
iteration 180 performed, best fitness : 1184.51
iteration 181 performed, best fitness : 1186.66
iteration 182 performed, best fitness : 1204.06
iteration 183 performed, best fitness : 1196.22
iteration 184 performed, best fitness : 1197.68
iteration 185 performed, best fitness : 1198.01
iteration 186 performed, best fitness : 1183.58
iteration 187 performed, best fitness : 1276.85
iteration 188 performed, best fitness : 1213.01
iteration 189 performed, best fitness : 1218.3
iteration 190 performed, best fitness : 1175.14
iteration 191 performed, best fitness : 1278.41
iteration 192 performed, best fitness : 1221.59
iteration 193 performed, best fitness : 1203.5
iteration 194 performed, best fitness : 1301.41
iteration 195 performed, best fitness : 1269.7
iteration 196 performed, best fitness : 1247.53
iteration 197 performed, best fitness : 1247.44
iteration 198 performed, best fitness : 1281.8
iteration 199 performed, best fitness : 1284.05
iteration 200 performed, best fitness : 1198.89
iteration 201 performed, best fitness : 1257.26
iteration 202 performed, best fitness : 1255.31
iteration 203 performed, best fitness : 1282.97
iteration 204 performed, best fitness : 1250.51
iteration 205 performed, best fitness : 1255.98
iteration 206 performed, best fitness : 1253.8
iteration 207 performed, best fitness : 1214.09
iteration 208 performed, best fitness : 1258.31
iteration 209 performed, best fitness : 1269.89
iteration 210 performed, best fitness : 1264.98
iteration 211 performed, best fitness : 1251.17
iteration 212 performed, best fitness : 1300.78
iteration 213 performed, best fitness : 1305
iteration 214 performed, best fitness : 1321.71
iteration 215 performed, best fitness : 1317.38
iteration 216 performed, best fitness : 1356.71
iteration 217 performed, best fitness : 1345.43
iteration 218 performed, best fitness : 1342.33
iteration 219 performed, best fitness : 1353.72
iteration 220 performed, best fitness : 1362.92
iteration 221 performed, best fitness : 1367.17
iteration 222 performed, best fitness : 1382.86
iteration 223 performed, best fitness : 1369.62
iteration 224 performed, best fitness : 1364.29
iteration 225 performed, best fitness : 1382.94
iteration 226 performed, best fitness : 1383.99
iteration 227 performed, best fitness : 1383.21
iteration 228 performed, best fitness : 1382.76
iteration 229 performed, best fitness : 1380.69
iteration 230 performed, best fitness : 1381.64
iteration 231 performed, best fitness : 1384.66
iteration 232 performed, best fitness : 1383.94
iteration 233 performed, best fitness : 1381.56
iteration 234 performed, best fitness : 1383.74
iteration 235 performed, best fitness : 1383.02
iteration 236 performed, best fitness : 1383.32
iteration 237 performed, best fitness : 1380.54
iteration 238 performed, best fitness : 1382.63
iteration 239 performed, best fitness : 1383.08
iteration 240 performed, best fitness : 1382.05
iteration 241 performed, best fitness : 1382.53
iteration 242 performed, best fitness : 1383.31
iteration 243 performed, best fitness : 1380.13
iteration 244 performed, best fitness : 1379.78
iteration 245 performed, best fitness : 1379.92
iteration 246 performed, best fitness : 1382.38
iteration 247 performed, best fitness : 1381.78
iteration 248 performed, best fitness : 1381.94
iteration 249 performed, best fitness : 1381.85
iteration 250 performed, best fitness : 1380.07
iteration 251 performed, best fitness : 1380.61
iteration 252 performed, best fitness : 1380.77
iteration 253 performed, best fitness : 1381.92
iteration 254 performed, best fitness : 1379.65
iteration 255 performed, best fitness : 1382.97
iteration 256 performed, best fitness : 1382.93
iteration 257 performed, best fitness : 1382.87
iteration 258 performed, best fitness : 1381.1
iteration 259 performed, best fitness : 1380.07
iteration 260 performed, best fitness : 1381.09
iteration 261 performed, best fitness : 1381.55
iteration 262 performed, best fitness : 1380.57
iteration 263 performed, best fitness : 1380.66
iteration 264 performed, best fitness : 1380.43
iteration 265 performed, best fitness : 1380.92
iteration 266 performed, best fitness : 1380.61
iteration 267 performed, best fitness : 1381.89
iteration 268 performed, best fitness : 1381.51
iteration 269 performed, best fitness : 1379.91
iteration 270 performed, best fitness : 1380.49
iteration 271 performed, best fitness : 1381.3
iteration 272 performed, best fitness : 1380.68
iteration 273 performed, best fitness : 1381.43
iteration 274 performed, best fitness : 1382.43
iteration 275 performed, best fitness : 1383.43
iteration 276 performed, best fitness : 1383.5
iteration 277 performed, best fitness : 1381.05
iteration 278 performed, best fitness : 1381.01
iteration 279 performed, best fitness : 1381.59
iteration 280 performed, best fitness : 1380.71
iteration 281 performed, best fitness : 1381.3
iteration 282 performed, best fitness : 1380.84
iteration 283 performed, best fitness : 1381.27
iteration 284 performed, best fitness : 1380.98
iteration 285 performed, best fitness : 1381.28
iteration 286 performed, best fitness : 1381.27
iteration 287 performed, best fitness : 1380.23
iteration 288 performed, best fitness : 1382.77
iteration 289 performed, best fitness : 1381.71
iteration 290 performed, best fitness : 1381.06
iteration 291 performed, best fitness : 1381.81
iteration 292 performed, best fitness : 1381.91
iteration 293 performed, best fitness : 1383.84
iteration 294 performed, best fitness : 1383.35
iteration 295 performed, best fitness : 1382.61
iteration 296 performed, best fitness : 1381.04
iteration 297 performed, best fitness : 1380.43
iteration 298 performed, best fitness : 1382.48
iteration 299 performed, best fitness : 1381.78
iteration 300 performed, best fitness : 1381.04
iteration 301 performed, best fitness : 1384.29
iteration 302 performed, best fitness : 1382.82
iteration 303 performed, best fitness : 1383.09
iteration 304 performed, best fitness : 1383.45
iteration 305 performed, best fitness : 1381.97
iteration 306 performed, best fitness : 1383.39
iteration 307 performed, best fitness : 1382.46
iteration 308 performed, best fitness : 1382.84
