iteration 169 performed, best fitness : 600.969
iteration 170 performed, best fitness : 548.758
iteration 171 performed, best fitness : 586.145
iteration 172 performed, best fitness : 543.925
iteration 173 performed, best fitness : 548.64
iteration 174 performed, best fitness : 518.258
iteration 175 performed, best fitness : 626.557
iteration 176 performed, best fitness : 413.383
iteration 177 performed, best fitness : 628.342
iteration 178 performed, best fitness : 559.449
iteration 179 performed, best fitness : 569.871
iteration 180 performed, best fitness : 558.718
iteration 181 performed, best fitness : 579.482
iteration 182 performed, best fitness : 660.757
iteration 183 performed, best fitness : 652.142
iteration 184 performed, best fitness : 565.202
iteration 185 performed, best fitness : 630.833
iteration 186 performed, best fitness : 547.447
iteration 187 performed, best fitness : 678.702
iteration 188 performed, best fitness : 721.279
iteration 189 performed, best fitness : 685.902
iteration 190 performed, best fitness : 734.253
iteration 191 performed, best fitness : 623.359
iteration 192 performed, best fitness : 618.744
iteration 193 performed, best fitness : 659.949
iteration 194 performed, best fitness : 634.095
iteration 195 performed, best fitness : 640.154
iteration 196 performed, best fitness : 560.99
iteration 197 performed, best fitness : 685.577
iteration 198 performed, best fitness : 617.863
iteration 199 performed, best fitness : 693.146
iteration 200 performed, best fitness : 817.583
iteration 201 performed, best fitness : 686.612
iteration 202 performed, best fitness : 743.279
iteration 203 performed, best fitness : 786.26
iteration 204 performed, best fitness : 680.387
iteration 205 performed, best fitness : 638.881
iteration 206 performed, best fitness : 620.069
iteration 207 performed, best fitness : 672.708
iteration 208 performed, best fitness : 614.947
iteration 209 performed, best fitness : 605.147
iteration 210 performed, best fitness : 603.521
iteration 211 performed, best fitness : 753.373
iteration 212 performed, best fitness : 603.26
iteration 213 performed, best fitness : 695.463
iteration 214 performed, best fitness : 592.567
iteration 215 performed, best fitness : 662.537
iteration 216 performed, best fitness : 608.24
iteration 217 performed, best fitness : 626.01
iteration 218 performed, best fitness : 761.496
iteration 219 performed, best fitness : 737.294
iteration 220 performed, best fitness : 646.973
iteration 221 performed, best fitness : 707.384
iteration 222 performed, best fitness : 689.783
iteration 223 performed, best fitness : 598.912
iteration 224 performed, best fitness : 589.254
iteration 225 performed, best fitness : 573.28
iteration 226 performed, best fitness : 602.135
iteration 227 performed, best fitness : 710.97
iteration 228 performed, best fitness : 654.677
iteration 229 performed, best fitness : 576.446
iteration 230 performed, best fitness : 553.138
iteration 231 performed, best fitness : 729.556
iteration 232 performed, best fitness : 666.518
iteration 233 performed, best fitness : 668.853
iteration 234 performed, best fitness : 644.693
iteration 235 performed, best fitness : 631.797
iteration 236 performed, best fitness : 653.277
iteration 237 performed, best fitness : 642.514
iteration 238 performed, best fitness : 646.908
iteration 239 performed, best fitness : 626.364
iteration 240 performed, best fitness : 684.191
iteration 241 performed, best fitness : 602.468
iteration 242 performed, best fitness : 676.686
iteration 243 performed, best fitness : 644.374
iteration 244 performed, best fitness : 584.46
iteration 245 performed, best fitness : 612.71
iteration 246 performed, best fitness : 559.512
iteration 247 performed, best fitness : 672.034
iteration 248 performed, best fitness : 673.654
iteration 249 performed, best fitness : 589.153
iteration 250 performed, best fitness : 651.571
iteration 251 performed, best fitness : 898.017
iteration 252 performed, best fitness : 646.602
iteration 253 performed, best fitness : 590.852
iteration 254 performed, best fitness : 669.816
iteration 255 performed, best fitness : 553.596
iteration 256 performed, best fitness : 642.686
iteration 257 performed, best fitness : 644.324
iteration 258 performed, best fitness : 646.138
iteration 259 performed, best fitness : 598.289
iteration 260 performed, best fitness : 746.27
iteration 261 performed, best fitness : 703.893
iteration 262 performed, best fitness : 629.934
iteration 263 performed, best fitness : 577.562
iteration 264 performed, best fitness : 694.284
iteration 265 performed, best fitness : 590.296
iteration 266 performed, best fitness : 649.259
iteration 267 performed, best fitness : 691.567
iteration 268 performed, best fitness : 629.632
iteration 269 performed, best fitness : 722.663
